osmid,y,x,street_count,highway,geometry
5608705154,-7.3394132,112.7349565,4,,POINT (112.7349565 -7.3394132)
5608705155,-7.3412681,112.7346973,2,,POINT (112.7346973 -7.3412681)
5608705156,-7.3418799,112.735789,2,,POINT (112.735789 -7.3418799)
5608705157,-7.3415003,112.7357433,3,,POINT (112.7357433 -7.3415003)
5608705158,-7.3423045,112.7366668,3,,POINT (112.7366668 -7.3423045)
5608705159,-7.342098,112.7362476,3,,POINT (112.7362476 -7.342098)
5608705160,-7.3420369,112.736249,2,,POINT (112.736249 -7.3420369)
5608705161,-7.3415381,112.736257,2,,POINT (112.736257 -7.3415381)
5608705162,-7.3415075,112.7352243,4,,POINT (112.7352243 -7.3415075)
5608705163,-7.3393833,112.7392329,2,,POINT (112.7392329 -7.3393833)
5608705164,-7.3400018,112.7401301,2,,POINT (112.7401301 -7.3400018)
5608705166,-7.3395708,112.741077,2,,POINT (112.741077 -7.3395708)
5608705167,-7.3394391,112.7396339,2,,POINT (112.7396339 -7.3394391)
5608705168,-7.3394072,112.7393952,2,,POINT (112.7393952 -7.3394072)
5608705169,-7.3393241,112.7389284,3,,POINT (112.7389284 -7.3393241)
5608705170,-7.3393009,112.7388682,2,,POINT (112.7388682 -7.3393009)
5608705171,-7.3391984,112.7382633,2,,POINT (112.7382633 -7.3391984)
5608705172,-7.3390534,112.7373626,3,,POINT (112.7373626 -7.3390534)
5608705173,-7.3375118,112.7360284,3,,POINT (112.7360284 -7.3375118)
5608705174,-7.3397478,112.7369993,2,,POINT (112.7369993 -7.3397478)
5608705175,-7.3397504,112.7368497,2,,POINT (112.7368497 -7.3397504)
5608705176,-7.339749,112.7367264,3,,POINT (112.7367264 -7.339749)
5608705177,-7.339652,112.7362396,3,,POINT (112.7362396 -7.339652)
5608705178,-7.3396969,112.7352351,3,,POINT (112.7352351 -7.3396969)
5608705179,-7.3391463,112.7353443,3,,POINT (112.7353443 -7.3391463)
5608705180,-7.3392104,112.7357191,3,,POINT (112.7357191 -7.3392104)
